Action ID,Announce Date,Target Ticker,Target ISIN,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date
141576830,3/7/2017,NMBL US,US65440R1014,HPE US,913.01,Cash,Completed,4/17/2017
56303649,7/20/2011,NLC US,US62985Q1013,ECL US,8042.46,Cash or Stock,Completed,12/2/2011
105836532,6/15/2015,NKA US,US6546781013,BIP US,978.92,Cash,Completed,7/19/2016
53228181,3/21/2011,NK FP,FR0000120859,GBLB BB,2800.84,Cash,Completed,3/21/2011
55709905,6/27/2011,NISCB SS,SE0001785197,SWK US,1176.96,Cash,Completed,9/9/2011
54525957,5/16/2011,NISCB SS,SE0001785197,SECUB SS,1132.68,Stock,Terminated,9/5/2011
134781607,11/7/2016,NILE US,US09578R1032,,474.4,Cash,Completed,2/21/2017
52389535,2/28/2011,NHP US,US6386201049,VTR US,6819.42,Stock,Completed,7/5/2011
57281221,8/29/2011,NGX CN,CA6664161024,AUQ CN,1310.42,Stock,Completed,10/28/2011
115082746,11/3/2015,NGLS US,US87611X1054,TRGP US,11378.48,Stock,Completed,2/17/2016
82611023,10/15/2013,NGL CN,CA0347602074,BXE CN,485.6,Cash and Stock,Completed,12/17/2013
51484666,1/21/2011,NFDS LN,GB0006466089,3595032Z LN,908.74,Cash,Completed,5/13/2011
49759795,11/17/2010,NFDS LN,GB0006466089,GNC LN,617.79,Stock,Terminated,3/10/2011
153916418,10/17/2017,NEWS US,US65251F1057,9469571Z US,475.99,Cash,Pending, 
120999541,2/23/2016,NEWP US,US6518241046,MKSI US,1257.95,Cash,Completed,5/2/2016
148177420,9/25/2017,NETS DC,DK0060745370,,6338.23,Cash,Pending,3/31/2018
57623611,9/12/2011,NETL US,US64118B1008,BRCM US,3396.5,Cash,Completed,2/21/2012
47288593,8/5/2010,NETC4 BZ,BRNETCACNPR3,EBTP4 BZ,2798.25,Cash,Completed,1/13/2011
150609984,8/16/2017,NEFF US,US6400942073,URI US,596.11,Cash,Completed,10/2/2017
148854360,7/14/2017,NEFF US,US6400942073,HEES US,501.78,Cash,Terminated,8/17/2017
147032230,7/24/2017,NDRM US,IL0011334955,4508 JP,874.95,Cash,Completed,10/19/2017
147373012,6/19/2017,NDQ CN,CA66987G1028,SYK US,636.95,Cash,Completed,9/6/2017
58356195,10/11/2011,NDN US,US65440K1060,,1096.9,Cash,Completed,1/17/2012
52761009,3/11/2011,NDN US,US65440K1060,,674.93,Cash,Terminated,10/12/2011
89279354,3/28/2014,NDN CN,CA65563C1059,STER US,522.16,Cash,Completed,8/11/2014
104740395,3/30/2015,NCFT US,US65557Y1055,FBHS US,534.92,Cash,Completed,5/12/2015
97222427,10/9/2014,NBPO LN,PG0009239032,SIME MK,1970.29,Cash,Completed,3/25/2015
78548792,6/20/2013,NBPO LN,PG0009239032,KUL MK,1759.96,Cash,Terminated,9/5/2013
53496853,3/3/2011,NAT BB,BE0003845626,8242997Z BB,2105.75,Cash,Completed,5/26/2011
47605361,8/19/2010,NAL US,US6502031023,FNFG US,1522.73,Cash or Stock,Completed,4/18/2011
79708516,7/22/2013,NAFC US,US6311581028,SPTN US,688.08,Stock,Completed,11/20/2013
62772010,3/23/2012,NAE CN,CA62875E1016,PGF CN,1731.48,Stock,Completed,6/6/2012
129491390,7/28/2016,N US,US64118Q1076,ORCL US,8716.28,Cash,Completed,11/7/2016
148578754,7/9/2017,MYCC US,US18948M1080,APO US,2155.39,Cash,Completed,9/18/2017
101793764,1/26/2015,MWV US,US5833341077,RKT US,9712.62,Stock,Completed,7/2/2015
101302981,1/12/2015,MWIV US,US55402X1054,ABC US,2529.5,Cash,Completed,2/25/2015
109532069,7/13/2015,MWE US,US5707591005,MPLX US,13687.32,Cash and Stock,Completed,12/4/2015
103394468,3/2/2015,MVNR US,US5776751019,MITL US,526.27,Cash or Stock,Completed,4/29/2015
55935398,7/5/2011,MTX SJ,ZAE000022745,JINGRZ CH,1407.36,Cash,Completed,1/17/2012
53524510,4/8/2011,MTX SJ,ZAE000022745,VALE5 BZ,1189.62,Cash,Terminated,7/11/2011
113066367,9/28/2015,MTU AU,AU000000MTU6,VOC AU,1617.13,Stock,Completed,2/9/2016
48019451,9/6/2010,MTRS PZ,SE0000416604,ALFA SS,869.4,Cash,Terminated,10/18/2010
48537142,9/29/2010,MTRS PZ,SE0000416604,1067Z SS,831.62,Cash,Completed,12/27/2010
62598916,3/19/2012,MSY LN,GB00B45TWN62,389272Z US,2096.92,Cash,Completed,6/1/2012
138908258,1/19/2017,MST-U CN,CA59934P1018,17274Z US,2839.32,Cash,Completed,5/1/2017
139991229,2/7/2017,MSR US,NL0012191498,1324895D US,2300,Cash,Completed,4/3/2017
90996661,5/12/2014,MSR US,NL0012191498,5056Z US,1700,Cash,Completed,8/4/2014
108437428,6/22/2015,MSO US,US5730831022,1350017D US,510.75,Cash or Stock,Completed,12/7/2015
48464406,9/27/2010,MSM SJ,ZAE000152617,WMT US,2087.16,Cash,Completed,6/20/2011
149359157,7/25/2017,MSFG US,US56062Y1029,FFBC US,988.96,Stock,Pending,6/30/2018
68317645,9/3/2012,MRX US,US5846903095,VRX CN,2440.32,Cash,Completed,12/11/2012
50469188,12/15/2010,MRU AU,AU000000MRU0,2731593Z RU,828.44,Cash,Completed,6/16/2011
128894764,7/20/2016,MRT SP,SG1I86884935,TMSK SP,868.57,Cash,Completed,10/31/2016
99882031,3/31/2015,MRH US,BMG621851069,ENH US,1310.54,Stock,Completed,8/3/2015
125687986,5/16/2016,MRD US,US58605Q1094,RRC US,4287.41,Stock,Completed,9/19/2016
107846469,6/4/2015,MR US,US6026751007,1382461D KY,1868.04,Cash,Completed,3/4/2016
139096565,1/24/2017,MPSX US,BMG6331W1091,WRK US,2267.15,Cash,Completed,6/7/2017
91137901,5/12/2014,MPS US,    N.A.,VNTV US,1650,Cash,Completed,6/13/2014
134657308,11/3/2016,MPG US,US59116R1077,AXL US,3230.32,Cash and Stock,Completed,4/6/2017
133971101,10/25/2016,MPE LN,GB0007538100,KLK MK,509.75,Cash,Terminated,12/22/2016
96779849,9/30/2014,MOVE US,US62458M2070,NWSA US,844.9,Cash,Completed,11/17/2014
148332017,7/4/2017,MORE US,US60979P1057,,3404.11,Cash,Completed,9/20/2017
88423960,3/10/2014,MONT US,KYG6209T1058,,578.16,Cash,Completed,11/20/2014
125540168,5/18/2016,MON US,US61166W1018,BAYN GR,65695.72,Cash,Pending,1/31/2018
114147084,10/15/2015,MON FP,FR0000037046,LNR CN,953.62,Cash,Completed,2/25/2016
81244076,9/9/2013,MOLX US,US6085541018,3097Z US,6527.69,Cash,Completed,12/10/2013
66039907,7/3/2012,MODL US,US60689B1070,507830Z US,1057.35,Cash,Completed,8/17/2012
103914725,3/11/2015,MOB-U CN,CA66753T1066,NWH-U CN,481.77,Stock,Completed,5/20/2015
81246716,9/9/2013,MNTG US,US5537691009,ERI US,642.93,Cash or Stock,Completed,9/19/2014
54799334,5/26/2011,MNR LN,GB0005953681,,1724.63,Cash,Completed,9/19/2011
103003495,3/2/2015,MMT CN,CA5729031024,1241371D NL,408.47,Cash,Terminated,8/27/2015
71545970,12/5/2012,MMR US,US5824111042,FCX US,2565.22,Cash,Completed,6/4/2013
143820539,4/13/2017,MM CN,CA61534J1057,,624.1,Cash,Completed,7/4/2017
136938630,12/15/2016,MLCO US,US5854641009,200 HK,3461.85,Cash,Completed,2/16/2017
153479333,12/8/2017,MLC LN,GB0005622542,CIT SP,908.45,Cash,Pending, 
126286077,5/31/2016,MKTO US,US57063L1070,389272Z US,1553.26,Cash,Completed,8/17/2016
85299756,12/20/2013,MKTG US,US7612481033,ORCL US,1437.86,Cash,Completed,2/7/2014
139727326,2/10/2017,MJN US,US5828391061,RB/ LN,17809.81,Cash,Completed,6/15/2017
61139012,1/26/2012,MITI US,US59509C1053,AMGN US,901.8,Cash,Completed,3/8/2012
44501653,4/11/2010,MIR US,US60467R1005,1235274D US,2273.7,Stock,Completed,12/6/2010
98994303,4/8/2015,MION US,US6047021000,6488Z LN,750,Cash,Completed,4/8/2015
100784215,12/30/2014,MIG US,US58319P1084,656 HK,433.31,Cash,Completed,7/8/2015
50552154,12/17/2010,MI US,US5718371033,BMO CN,4020.85,Stock,Completed,7/6/2011
56336194,7/21/2011,MHS US,US58405U1025,ESRX US,34321.55,Cash and Stock,Completed,4/2/2012
125343982,5/9/2016,MHGC US,US61748W1080,917810Z US,638.67,Cash,Completed,12/2/2016
142012268,3/26/2017,MGI US,US60935Y2081,EEFT US,1752.59,Cash,Terminated,4/17/2017
139245910,1/26/2017,MGI US,US60935Y2081,1051260D CH,1719.54,Cash,Pending,12/31/2017
95893280,9/8/2014,MGAM US,US6254531055,EVRI US,980.89,Cash,Completed,12/22/2014
55234121,6/13/2011,MFW US,US5525411048,14394Z US,2310.81,Cash,Completed,12/22/2011
130088777,8/7/2016,MFRM US,US57722W1062,SNH GR,3746.29,Cash,Completed,9/19/2016
120167220,2/4/2016,MFLX US,US62541B1017,002384 CH,415.73,Cash,Completed,7/28/2016
61038701,1/23/2012,MFL CN,CA6029001022,PAAS CN,1131.35,Cash or Stock,Completed,4/5/2012
47604485,8/19/2010,MFE US,US5790641063,INTC US,6593.67,Cash,Completed,3/1/2011
79790714,7/24/2013,MFB US,US5603051047,HBI US,571.94,Cash,Completed,10/7/2013
89399705,4/1/2014,METSO FH,FI0009007835,WEIR LN,6736.06,Stock,Terminated,5/28/2014
110703520,8/4/2015,METR US,US59161R1014,FNB US,477.76,Stock,Completed,2/16/2016
124106523,5/23/2016,MESG US,US98420V1070,8210273Z US,641.72,Cash,Completed,8/19/2016
133578022,11/14/2016,MENT US,US5872001061,SIE GR,4011.66,Cash,Completed,3/31/2017
155476940,11/14/2017,MELK SS,SE0001785270,1555848D DC,596.88,Cash,Pending,12/14/2017
62026544,2/28/2012,MEL CN,CA5981471066,WCP CN,519.55,Cash or Stock,Completed,4/27/2012
113072721,9/28/2015,MEG US,US58441K1007,NXST US,4474.32,Cash and Stock,Completed,1/18/2017
51676254,1/29/2011,MEE US,US5762061068,ANRZQ US,8276.82,Cash and Stock,Completed,6/2/2011
120446621,2/10/2016,MEDAA SS,SE0000221723,MYL US,9974.78,Cash or Stock,Completed,8/24/2016
92640611,6/18/2014,MEAS US,US5834211022,TEL US,1662.62,Cash,Completed,10/10/2014
44597816,4/15/2010,ME US,US56845T3059,APA US,3801.5,Cash or Stock,Completed,11/11/2010
125075400,8/22/2016,MDVN US,US58501N1019,PFE US,13694.62,Cash,Completed,9/29/2016
123243804,4/28/2016,MDVN US,US58501N1019,SAN FP,9707.77,Cash,Terminated,9/28/2016
112173809,9/8/2015,MDP US,US5894331017,MEG US,3404.99,Cash and Stock,Terminated,1/27/2016
70476470,11/5/2012,MDF US,US5921421039,HUM US,533.3,Cash,Completed,12/24/2012
113667184,10/14/2015,MDC SJ,ZAE000074142,MDC LN,10161.62,Stock,Completed,2/15/2016
114980317,11/2/2015,MDAS US,US5840451083,2166332Z LN,2720.42,Cash,Completed,1/28/2016
92585590,6/23/2014,MCRS US,US5949011002,ORCL US,4429.38,Cash,Completed,9/9/2014
106602825,5/7/2015,MCRL US,US5947931011,MCHP US,829.52,Cash or Stock,Completed,8/4/2015
43117442,2/15/2010,MCHL LN,GB0031696858,VTG LN,695.89,Stock,Terminated,3/4/2010
51471682,1/21/2011,MCHL LN,GB0031696858,COST LN,402.13,Cash and Stock,Terminated,3/29/2011
96624805,9/25/2014,MCHB US,US5836141029,3601589Z US,520,Cash,Completed,5/1/2015
45737088,6/1/2010,MCCC US,US58446K1051,,3623.59,Cash,Completed,3/7/2011
56064383,7/11/2011,MCC AU,AU000000MCC0,,4045.85,Cash,Completed,12/22/2011
44243527,3/30/2010,MCC AU,AU000000MCC0,BTU US,3366.92,Cash,Terminated,5/18/2010
124935976,5/2/2016,MBT CN,CA5634861093,BCE CN,3329.8,Cash or Stock,Completed,3/21/2017
141893460,3/13/2017,MBBYF US,NL0010831061,INTC US,14131.97,Cash,Pending,9/1/2017
87998948,2/28/2014,MB CN,CA58515N3031,MAT US,438.15,Cash,Completed,5/5/2014
117366587,8/1/2016,MAU FP,FR0000051070,PERT IJ,931.68,Cash,Completed,2/9/2017
50630913,12/21/2010,MATK US,US5729011065,DSM NA,973.39,Cash,Completed,2/28/2011
94748911,8/8/2014,MAS MK,MYL3786OO000,KNBZ MK,432.47,Cash,Completed,12/31/2014
73235940,1/22/2013,MAPP US,US56509R1086,1284849D US,767.96,Cash,Completed,3/4/2013
54320389,5/9/2011,MAN GR,DE0005937007,VOW GR,7418.43,Cash,Completed,6/29/2011
75313948,3/22/2013,MAN GR,DE0005937007,VOW GR,3694.26,Cash,Pending, 
76309857,4/23/2013,MAKRO TB,TH0429010Z01,CPALL TB,4083.25,Cash,Completed,6/26/2013
81815688,9/25/2013,MAKO US,US5608791084,SYK US,1351.19,Cash,Completed,12/18/2013
48844169,10/11/2010,MAIN IT,IL0010818198,CHNCCZ CH,2145.16,Cash,Completed,10/19/2011
103651495,3/9/2015,MAC US,US5543821012,SPG US,20768.04,Cash and Stock,Terminated,3/31/2015
52784711,3/14/2011,LZ US,US5492711040,BRK/A US,9217.58,Cash,Completed,9/19/2011
114464014,4/19/2016,LXK US,US5297711070,,3444.43,Cash,Completed,11/29/2016
52933884,4/26/2011,LWSN US,US52078P1021,,1812.9,Cash,Completed,7/6/2011
109523207,9/14/2015,LWB PW,PLLWBGD00016,ENA PW,555.47,Cash,Completed,10/22/2015
134130638,10/31/2016,LVLT US,US52729N3089,CTL US,33500.2,Cash and Stock,Completed,11/1/2017
80402774,8/12/2013,LVB US,US8584951045,573991Z US,473.56,Cash,Completed,9/19/2013
79093846,7/1/2013,LVB US,US8584951045,9618Z US,428.9,Cash,Terminated,8/14/2013
138756720,1/16/2017,LUX IM,IT0001479374,EI FP,16608.75,Stock,Pending,12/31/2017
120643305,1/16/2017,LUX IM,IT0001479374,EI FP,9507.64,Stock,Pending,12/31/2017
52382867,2/28/2011,LUN CN,CA5503721063,EQN CN,4831.86,Cash or Stock,Terminated,4/25/2011
51201826,1/12/2011,LUN CN,CA5503721063,IMN CN,4152.93,Stock,Terminated,3/29/2011
75842065,4/8/2013,LUFK US,US5497641085,GE US,3238.22,Cash,Completed,7/2/2013
120298865,2/8/2016,LSG CN,CA5107281084,THO CN,551.88,Stock,Completed,4/8/2016
77468922,5/28/2013,LSE US,US1402881015,VER US,1877.16,Cash,Completed,11/6/2013
121005511,2/23/2016,LSE LN,GB00B0SWJX34,DB1 GR,13809.84,Stock,Terminated,3/29/2017
134661010,11/3/2016,LSCC US,US5184151042,1457329D US,1215.29,Cash,Terminated,9/13/2017
105753188,4/20/2015,LRE US,US50214A1043,VNRSQ US,516.57,Stock,Completed,10/6/2015
117704585,12/21/2015,LRE CN,CA54287V1022,600856 CH,547.65,Cash,Completed,7/6/2016
55454134,6/16/2011,LRD LN,GB00B1VNST91,CBE US,1026.2,Cash,Terminated,8/1/2011
77461332,5/28/2013,LPS US,US52602E1029,1023761D US,4060.02,Cash and Stock,Completed,1/3/2014
64910440,5/31/2012,LOG LN,GB0005227086,GIB/A CN,3113.38,Cash,Completed,8/24/2012
135558945,11/21/2016,LOCK US,US53224V1008,SYMC US,2186.75,Cash,Completed,2/9/2017
88158464,7/15/2014,LO US,US5441471019,RAI US,26477.06,Cash and Stock,Completed,6/12/2015
127065772,6/13/2016,LNKD US,US53578A1088,MSFT US,24379.9,Cash,Completed,12/8/2016
65974036,7/1/2012,LNCR US,US5327911005,LIN GR,4403.8,Cash,Completed,8/14/2012
140642881,2/20/2017,LMOS US,US5502831051,1071Z SS,821.8,Cash,Completed,11/20/2017
108420100,6/18/2015,LMNS US,IL0011312597,1250287D LN,454.5,Cash,Completed,10/13/2015
140548884,2/17/2017,LMIA US,US5020791068,291335Z BB,439.44,Cash,Completed,6/28/2017
129358995,7/26/2016,LLTC US,US5356781063,ADI US,12813.78,Cash and Stock,Completed,3/13/2017
136750858,12/12/2016,LIOX US,US5362521099,61128Z US,432.76,Cash,Completed,3/1/2017
88941733,3/21/2014,LIN US,US5327711025,MEG US,2450.46,Cash or Stock,Completed,12/22/2014
135989249,12/20/2016,LIN GR,DE0006483001,PX US,41396.62,Stock,Pending,11/24/2017
50007933,3/5/2010,LIA US,US53015Y1073,PRS SM,1290.41,Cash,Completed,11/30/2010
44274243,4/1/2010,LGL AU,PG0008974597,NCM AU,8963.39,Cash and Stock,Completed,10/5/2010
46863156,7/20/2010,LGF/A US,CA5359194019,IEP US,904.03,Cash,Terminated,12/13/2010
89627126,4/7/2014,LG FP,FR0000120537,LHN SW,34833.75,Stock,Completed,7/7/2015
110138435,7/9/2015,LG FP,FR0000120537,LHN SW,2387.42,Cash or Stock,Completed,10/23/2015
110136041,7/27/2015,LEY FP,FR0000053142,WAB US,1036.62,Cash or Stock,Completed,12/1/2016
110136317,7/27/2015,LEY FP,FR0000053142,WAB US,795.79,Cash or Stock,Completed,3/21/2017
112761963,9/21/2015,LEG GR,DE000LEG1110,DWNI GR,8244.67,Stock,Terminated,10/21/2015
107331575,5/26/2015,LEG CN,CA5247015053,CPG CN,1180.78,Stock,Completed,7/7/2015
79490262,7/12/2013,LEAP US,US5218633080,T US,4060.34,Cash,Completed,3/17/2014
49765363,11/17/2010,LDSH US,US5057542004,ATI US,801.67,Cash and Stock,Completed,5/10/2011
126804714,6/7/2016,LDRH US,US50185U1051,ZBH US,1002.2,Cash,Completed,7/14/2016
151637529,9/6/2017,LDR US,US51476K1034,FTV US,727.73,Cash,Completed,10/19/2017
74056235,2/14/2013,LCC US,US90341W1080,AAL US,3080,Stock,Completed,12/9/2013
59599484,11/30/2011,LAVA US,US5591811022,SNPS US,478.62,Cash,Completed,2/23/2012
114463702,10/22/2015,LAT US,    N.A.,,1521.63,Cash,Completed,1/27/2016
108366726,6/17/2015,KYTH US,US5015701056,AGN US,1833.42,Cash,Completed,10/2/2015
70622511,11/8/2012,KYAK US,US4865771095,PCLN US,1659.6,Cash or Stock,Completed,5/22/2013
144193383,4/24/2017,KWE LN,JE00BJT32513,KW US,2937.14,Stock,Completed,10/30/2017
117107549,2/2/2016,KUNN SW,CH0003504856,1071Z SS,1351.22,Cash,Completed,11/10/2016
125772215,5/18/2016,KU2 GR,DE0006204407,000333 CH,3980.36,Cash,Completed,1/2/2017
109848743,7/20/2015,KTC NA,NL0000375749,,1017.01,Cash,Completed,3/17/2016
52780635,3/13/2011,KSP US,US48268Y1010,KEX US,414.84,Cash,Completed,7/5/2011
104526923,3/25/2015,KRFT US,US50076Q1067,HNZ US,55422.87,Cash and Stock,Completed,7/6/2015
80357981,8/9/2013,KPN NA,NL0000009082,AMXL MM,22695.36,Cash,Terminated,10/16/2013
93646072,7/13/2014,KOG US,CA50015Q1000,WLL US,6038.16,Stock,Completed,12/8/2014
82945740,6/8/2013,KODK US,US2774614067,,406,Stock,Completed,9/8/2013
68086345,8/27/2012,KNXA US,US4888791070,IBM US,1230.31,Cash,Completed,12/4/2012
63502210,4/18/2012,KNOL US,US4991838040,0562353D US,1434,Cash,Completed,7/18/2012
42927478,2/4/2010,KNMG MK,MYL7164OO006,,1273.46,Cash,Terminated,4/14/2010
94796810,8/10/2014,KMR US,US49455U1007,KMI US,10680.7,Stock,Completed,11/28/2014
92955355,1/8/2015,KMR LN,IE00BDC5DG00,ILU AU,594.72,Stock,Terminated,12/7/2015
94796648,8/10/2014,KMP US,US4945501066,KMI US,48881.88,Cash and Stock,Completed,11/28/2014
136057416,9/29/2016,KLG CN,CA49740P1062,KL CN,801.67,Stock,Completed,12/6/2016
114393671,10/21/2015,KLAC US,US4824801009,LRCX US,10957.42,Cash and Stock,Terminated,10/5/2016
148725920,6/2/2017,KKGB KZ,KZ000A0JC858,HSBK KZ,772.07,Cash,Completed,7/5/2017
125329180,5/9/2016,KKD US,US5010141043,1074556D LX,1296.16,Cash,Completed,7/28/2016
151098425,8/28/2017,KITE US,US49803L1098,GILD US,10104.62,Cash,Completed,10/4/2017
115060204,11/2/2015,KING US,IE00BKJ9QQ58,ATVI US,4880.52,Cash,Completed,2/23/2016
69264647,9/27/2012,KH US,US16890V1008,MDT US,653.49,Cash,Completed,11/1/2012
48872194,10/12/2010,KG US,US4955821081,PFE US,3312.5,Cash,Completed,3/1/2011
104483773,3/24/2015,KFX US,BMG5307C1055,LXK US,954.47,Cash,Completed,5/22/2015
85048690,12/16/2013,KFN US,US48248A3068,KKR US,2465.47,Stock,Completed,5/1/2014
92788088,6/23/2014,KENZ LN,JE00B28ZGP75,SNC CN,1660.81,Cash,Completed,8/26/2014
81150289,9/5/2013,KDN US,US4865871085,SKFB SS,1240.97,Cash,Completed,10/16/2013
78636590,6/24/2013,KD8 GR,DE000KD88880,VOD LN,11185.66,Cash,Completed,10/14/2013
85677780,12/20/2013,KD8 GR,DE000KD88880,VOD LN,2398.07,Cash,Pending, 
